Customer ID,Gender,Region,Town size,Age Groups,Education Level,Home ownership,Job category,Employment length,Retired,Annual Household income,Debt to income ratio,Marital status,Household size,Telecom provider tenure (in months),Telecom provider tenure (in years),Customer Tenure,Voice service usage,Voice Service Groups,Equipment monthly usage,Monthly data usage,Data Usage Groups,Streaming hours,Streaming Groups,Plans,Number of Plans,Subscriptions,Number of subscriptions,Devices,Number of devices,Services,Number of services,CARTsegments,kmeans_segment,Customer Activity
3964-QJWTRG-NPN,Female,Northeast,Medium,18 to 24,Post Secondary,No,Professional,0,No,31000,11.1,Unmarried,3,5,0.416666667,Newcomer,19.5,Low,29.5,0,None,13,Low,"International plan, Family plan",2,"Equipment, Video streaming, Mobile security",3,"Smart device, Gaming console",2,"Cloud storage, IoT device support, Cloud backup",3,3,3,Low
0648-AIPJSP-UVM,Male,West Coast,Mega-City,18 to 24,Post Secondary,Yes,Sales,0,No,15000,18.6,Unmarried,2,39,3.25,Established,26.7,Low,54.85,45.65,Moderate,18,Moderate,"International plan, Wireless data plan, Family plan, Home internet plan",4,"Equipment, Smart home monitoring, Financial News streaming",3,"Home computer, Smart device, Gaming console, Smart home device",4,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4,3,6,Moderate
5195-TLUDJE-HVO,Female,Midwest,Extra Large,65 to 74,Post Secondary,Yes,Sales,16,No,35000,9.9,Married,3,65,5.416666667,Veteran,85.2,High,0,0,None,21,Moderate,"International plan, Family plan",2,Financial News streaming,1,No devices,0,No devices,0,8,2,Moderate
4459-VLPQUH-3OL,Male,Southwest,Large,18 to 24,Post Secondary,Yes,Sales,0,No,20000,5.7,Married,5,36,3,Established,18,Low,0,0,None,26,Moderate,"International plan, Family plan, Home internet plan",3,Financial News streaming,1,"Home computer, Smart device, Gaming console",3,No devices,0,3,4,Low
8158-SMTQFB-CNO,Male,Southeast,Medium,25 to 34,Post Secondary,No,Sales,1,No,23000,1.7,Married,4,21,1.75,Emerging,9.15,Low,0,19.05,Low,27,Moderate,"International plan, Wireless data plan, Home internet plan",3,"Video streaming, Mobile security",2,"Home computer, Gaming console",2,"Cloud storage, Virtual assistant service, Cloud backup",3,1,3,Low
9662-FUSYIM-1IV,Male,Southwest,Extra Large,55 to 64,Post Secondary,Yes,Service,22,No,107000,5.6,Unmarried,1,28,2.333333333,Established,24.3,Low,35.5,0,None,21,Moderate,International plan,1,"Equipment, Video streaming, Mobile security",3,No devices,0,"IoT device support, Virtual assistant service, Cloud backup",3,3,1,Low
7432-QKQFJJ-K72,Female,Southeast,Mega-City,45 to 54,Post Secondary,No,Professional,10,No,77000,1.9,Unmarried,1,15,1.25,Emerging,11.4,Low,0,0,None,19,Moderate,Home internet plan,1,No subscriptions,0,"Home computer, Smart device",2,Cloud backup,1,1,4,Low
8959-RZWRHU-ST8,Female,Midwest,Extra Large,35 to 44,Post Secondary,Yes,Professional,11,No,97000,14.4,Married,2,46,3.833333333,Loyal,44.55,Moderate,0,0,None,13,Low,"International plan, Family plan",2,"Video streaming, Financial News streaming, Mobile security",3,No devices,0,"Virtual assistant service, Cloud backup",2,6,2,Low
9124-DZALHM-S6I,Female,Southeast,Large,65 to 74,Completed High School,Yes,Professional,15,Yes,16000,2.6,Unmarried,1,53,4.416666667,Loyal,63.15,High,0,0,None,25,Moderate,"International plan, Family plan",2,No subscriptions,0,No devices,0,No devices,0,7,2,Moderate
3512-MUWBGY-52X,Male,Southeast,Medium,45 to 54,Some High School,Yes,Labor,19,No,84000,4.1,Unmarried,2,3,0.25,Newcomer,10.95,Low,0,0,None,21,Moderate,No plans,0,No subscriptions,0,No devices,0,No devices,0,1,1,Low
5621-QSZPSF-NF2,Female,Southwest,Small,55 to 64,Post Secondary,No,Professional,8,No,47000,8.6,Unmarried,1,50,4.166666667,Loyal,25.65,Low,31.2,0,None,26,Moderate,"International plan, Family plan, Home internet plan",3,"Equipment, Mobile security",2,"Home computer, Smart device",2,No devices,0,3,2,Low
8241-PWPONH-62O,Female,Southeast,Extra Large,25 to 34,No High School,No,Sales,4,No,19000,0.9,Married,5,9,0.75,Newcomer,10.8,Low,0,0,None,27,Moderate,No plans,0,No subscriptions,0,No devices,0,No devices,0,1,1,Low
8795-FYOXCT-P09,Male,West Coast,Medium,35 to 44,Some High School,Yes,Professional,12,No,73000,2.8,Unmarried,1,5,0.416666667,Newcomer,20.25,Low,0,0,None,21,Moderate,"International plan, Home internet plan",2,"Video streaming, Mobile security",2,Home computer,1,"Virtual assistant service, Cloud backup",2,3,4,Low
1705-NMIQNO-IC4,Male,Midwest,Medium,55 to 64,Post Secondary,Yes,Professional,3,No,63000,10.5,Unmarried,1,58,4.833333333,Loyal,36.3,Moderate,0,0,None,21,Moderate,"International plan, Family plan",2,"Video streaming, Financial News streaming",2,Home computer,1,"Virtual assistant service, Cloud backup",2,5,2,Moderate
9205-PAZEXY-90Q,Female,Southeast,Small,65 to 74,Post Secondary,Yes,Agriculture,27,Yes,17000,9.8,Married,2,67,5.583333333,Veteran,41.7,Moderate,38.55,0,None,24,Moderate,"International plan, Family plan",2,"Equipment, Smart home monitoring, Financial News streaming",3,"Home computer, Gaming console, Smart home device",3,Cloud backup,1,5,2,Moderate
4225-PZZDIY-IBH,Female,Midwest,Small,65 to 74,Post Secondary,No,Labor,31,Yes,23000,9.3,Married,2,72,6,Veteran,116.1,High,0,43.25,Moderate,22,Moderate,"International plan, Wireless data plan, Family plan, Home internet plan",4,"Video streaming, Financial News streaming, Mobile security",3,"Home computer, Smart home device",2,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4,8,6,Moderate
0758-EQEGIQ-3OF,Female,Northeast,Small,55 to 64,Post Secondary,Yes,Agriculture,24,No,171000,9.5,Married,3,48,4,Loyal,12.45,Low,43.15,40.2,Moderate,17,Low,"International plan, Wireless data plan, Home internet plan",3,"Equipment, Video streaming, Smart home monitoring, Mobile security",4,"Home computer, Smart device, Gaming console, Smart home device",4,"Cloud storage, IoT device support, Virtual assistant service",3,1,6,Low
0649-TBFJFL-QU4,Male,West Coast,Medium,55 to 64,Post Secondary,Yes,Labor,29,No,424000,10.7,Married,2,70,5.833333333,Veteran,104.4,High,0,0,None,24,Moderate,"International plan, Family plan",2,"Video streaming, Financial News streaming",2,No devices,0,"Cloud storage, Virtual assistant service, Cloud backup",3,8,2,Moderate
2228-KOLOPU-FY3,Female,West Coast,Mega-City,25 to 34,Some High School,Yes,Professional,4,No,23000,4.8,Married,3,34,2.833333333,Established,10.35,Low,0,0,None,16,Low,International plan,1,"Video streaming, Mobile security",2,No devices,0,"Virtual assistant service, Cloud backup",2,1,1,Low
3853-NVDCOJ-TIN,Female,Northeast,Small,Over 75,Post Secondary,No,Professional,10,Yes,22000,15.2,Unmarried,1,14,1.166666667,Newcomer,21.9,Low,24.85,0,None,22,Moderate,"International plan, Family plan, Home internet plan",3,Equipment,1,"Home computer, Smart device",2,No devices,0,3,4,Low
0765-UXAFYM-PDR,Male,Midwest,Large,55 to 64,Post Secondary,No,Professional,4,No,35000,10.1,Married,2,53,4.416666667,Loyal,33.6,Moderate,0,0,None,25,Moderate,"International plan, Home internet plan",2,"Video streaming, Mobile security",2,"Home computer, Smart device, Gaming console",3,"Cloud storage, Virtual assistant service, Cloud backup",3,5,3,Moderate
9937-SFPLRK-H9Y,Male,Southeast,Extra Large,65 to 74,Post Secondary,No,Sales,2,No,28000,9.3,Married,2,59,4.916666667,Loyal,42.75,Moderate,0,0,None,21,Moderate,"International plan, Family plan, Home internet plan",3,"Video streaming, Mobile security",2,"Home computer, Gaming console",2,IoT device support,1,5,2,Moderate
0712-WQXYVV-HUP,Male,Southwest,Small,55 to 64,Post Secondary,Yes,Labor,18,Yes,12000,21.5,Unmarried,1,61,5.083333333,Veteran,25.05,Low,29.1,0,None,13,Low,"International plan, Home internet plan",2,"Equipment, Mobile security",2,"Home computer, Gaming console",2,No devices,0,3,2,Low
6441-FJUWZQ-7G8,Male,Midwest,Extra Large,35 to 44,Some High School,No,Professional,2,No,29000,15.7,Unmarried,1,39,3.25,Established,39.3,Moderate,43.5,31.5,Moderate,21,Moderate,"International plan, Wireless data plan, Family plan, Home internet plan",4,"Equipment, Video streaming, Financial News streaming, Mobile security",4,"Home computer, Smart device, Gaming console",3,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4,5,6,Moderate
7634-AVNEXZ-7AG,Male,Northeast,Large,35 to 44,Completed High School,Yes,Professional,5,No,130000,11.3,Married,4,6,0.5,Newcomer,4.5,Low,0,0,None,32,High,"International plan, Home internet plan",2,Video streaming,1,"Home computer, Smart device",2,"Virtual assistant service, Cloud backup",2,1,4,Moderate
2041-PNMGHX-TXJ,Female,Southwest,Large,65 to 74,Post Secondary,No,Service,28,Yes,69000,14.8,Married,2,62,5.166666667,Veteran,76.35,High,47.15,53.2,High,22,Moderate,"International plan, Wireless data plan, Family plan, Home internet plan",4,"Equipment, Video streaming, Financial News streaming, Mobile security",4,"Home computer, Smart device, Gaming console",3,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4,7,6,High
4626-BQZAUJ-V9K,Female,West Coast,Extra Large,25 to 34,Post Secondary,No,Sales,0,No,24000,11.7,Married,6,26,2.166666667,Established,17.4,Low,27.05,0,None,17,Low,"International plan, Family plan, Home internet plan",3,"Equipment, Smart home monitoring",2,"Home computer, Smart device, Gaming console, Smart home device",4,No devices,0,3,4,Low
2969-ODPCDX-5DC,Female,Southeast,Small,18 to 24,Post Secondary,Yes,Labor,1,No,29000,14,Unmarried,1,11,0.916666667,Newcomer,11.85,Low,19.65,0,None,13,Low,No plans,0,Equipment,1,"Smart device, Gaming console",2,No devices,0,1,1,Low
4974-FUBHDF-Z7L,Female,Midwest,Small,Over 75,Post Secondary,Yes,Professional,0,Yes,11000,10.2,Unmarried,1,72,6,Veteran,268.35,High,0,0,None,23,Moderate,"International plan, Family plan",2,"Financial News streaming, Mobile security",2,No devices,0,Virtual assistant service,1,8,5,Moderate
2525-OSULNV-0KS,Male,West Coast,Large,35 to 44,Post Secondary,Yes,Professional,3,No,30000,15.5,Unmarried,1,37,3.083333333,Established,20.1,Low,0,0,None,15,Low,Home internet plan,1,No subscriptions,0,"Home computer, Smart device, Gaming console",3,No devices,0,3,4,Low
4973-FHPBZQ-AAA,Male,Midwest,Mega-City,55 to 64,Post Secondary,Yes,Service,23,No,80000,6.5,Unmarried,1,47,3.916666667,Loyal,36.75,Moderate,0,0,None,25,Moderate,International plan,1,"Video streaming, Financial News streaming",2,"Home computer, Gaming console",2,Cloud backup,1,5,2,Moderate
