"Customer ID","CARTsegments"
"3964-QJWTRG-NPN","3"
"0648-AIPJSP-UVM","3"
"5195-TLUDJE-HVO","8"
"4459-VLPQUH-3OL","3"
"8158-SMTQFB-CNO","1"
"9662-FUSYIM-1IV","3"
"7432-QKQFJJ-K72","1"
"8959-RZWRHU-ST8","6"
"9124-DZALHM-S6I","7"
"3512-MUWBGY-52X","1"
"5621-QSZPSF-NF2","3"
"8241-PWPONH-62O","1"
"8795-FYOXCT-P09","3"
"1705-NMIQNO-IC4","5"
"9205-PAZEXY-90Q","5"
"4225-PZZDIY-IBH","8"
"0758-EQEGIQ-3OF","1"
"0649-TBFJFL-QU4","8"
"2228-KOLOPU-FY3","1"
"3853-NVDCOJ-TIN","3"
"0765-UXAFYM-PDR","5"
"9937-SFPLRK-H9Y","5"
"0712-WQXYVV-HUP","3"
"6441-FJUWZQ-7G8","5"
"7634-AVNEXZ-7AG","1"
"2041-PNMGHX-TXJ","7"
"4626-BQZAUJ-V9K","3"
"2969-ODPCDX-5DC","1"
"4974-FUBHDF-Z7L","8"
"2525-OSULNV-0KS","3"
"4973-FHPBZQ-AAA","5"
"4726-RQKGNB-WAK","8"
"6592-QBSENI-6Y4","3"
"5538-DRGHIE-PF0","2"
"3550-PQUPPM-42T","1"
"9809-NBCXAS-1RB","3"
"8733-EDAXNE-8DV","7"
"8170-YHWTSQ-825","7"
"1144-GVCZDP-8DV","3"
"8846-JJEGFU-I69","5"
"4226-TEHKPJ-GKG","3"
"9714-LCYJJB-SCS","5"
"2866-TTOTKL-TA7","3"
"7217-UECHSF-PCR","3"
"0197-AMEAYR-851","3"
"1743-WAHPKT-DNW","1"
"9840-VEWFQZ-W5V","2"
"6203-JLXPIJ-YQZ","6"
"4166-WEDNXN-5RK","3"
"4643-WSLHBV-DM5","5"
"1441-JNZRPW-8KQ","1"
"5811-BKUTYY-F7I","6"
"0926-OZQUQX-GXA","5"
"5007-HXEVVL-NW5","3"
"8101-YOBRYX-REF","3"
"8267-UTARFV-TZK","3"
"4432-KMTQXO-788","7"
"9172-WITHKP-BXZ","6"
"1114-UELZXT-QT7","6"
"0992-DNDKIT-CUP","3"
"2654-JRLXAI-HC7","2"
"0405-BACHZT-AYK","3"
"4939-KCMADL-HLM","3"
"4724-UVMKNV-Z1I","7"
