"Customer ID","NumberPlans","NumberSubscriptions","NumberDevices","NumberServices","MonthlyDataUsage","StreamingHours","VoiceServiceUsage","TelecomProviderTenure_months","kmeans_segment"
"3964-QJWTRG-NPN",2,3,2,3,0,13,19.5,5,"3"
"0648-AIPJSP-UVM",4,3,4,4,45.65,18,26.7,39,"6"
"5195-TLUDJE-HVO",2,1,0,0,0,21,85.2,65,"2"
"4459-VLPQUH-3OL",3,1,3,0,0,26,18,36,"4"
"8158-SMTQFB-CNO",3,2,2,3,19.05,27,9.15,21,"3"
"9662-FUSYIM-1IV",1,3,0,3,0,21,24.3,28,"1"
"7432-QKQFJJ-K72",1,0,2,1,0,19,11.4,15,"4"
"8959-RZWRHU-ST8",2,3,0,2,0,13,44.55,46,"2"
"9124-DZALHM-S6I",2,0,0,0,0,25,63.15,53,"2"
"3512-MUWBGY-52X",0,0,0,0,0,21,10.95,3,"1"
"5621-QSZPSF-NF2",3,2,2,0,0,26,25.65,50,"2"
"8241-PWPONH-62O",0,0,0,0,0,27,10.8,9,"1"
"8795-FYOXCT-P09",2,2,1,2,0,21,20.25,5,"4"
"1705-NMIQNO-IC4",2,2,1,2,0,21,36.3,58,"2"
"9205-PAZEXY-90Q",2,3,3,1,0,24,41.7,67,"2"
"4225-PZZDIY-IBH",4,3,2,4,43.25,22,116.1,72,"6"
"0758-EQEGIQ-3OF",3,4,4,3,40.2,17,12.45,48,"6"
"0649-TBFJFL-QU4",2,2,0,3,0,24,104.4,70,"2"
"2228-KOLOPU-FY3",1,2,0,2,0,16,10.35,34,"1"
"3853-NVDCOJ-TIN",3,1,2,0,0,22,21.9,14,"4"
"0765-UXAFYM-PDR",2,2,3,3,0,25,33.6,53,"3"
"9937-SFPLRK-H9Y",3,2,2,1,0,21,42.75,59,"2"
"0712-WQXYVV-HUP",2,2,2,0,0,13,25.05,61,"2"
"6441-FJUWZQ-7G8",4,4,3,4,31.5,21,39.3,39,"6"
"7634-AVNEXZ-7AG",2,1,2,2,0,32,4.5,6,"4"
"2041-PNMGHX-TXJ",4,4,3,4,53.2,22,76.35,62,"6"
"4626-BQZAUJ-V9K",3,2,4,0,0,17,17.4,26,"4"
"2969-ODPCDX-5DC",0,1,2,0,0,13,11.85,11,"1"
"4974-FUBHDF-Z7L",2,2,0,1,0,23,268.35,72,"5"
"2525-OSULNV-0KS",1,0,3,0,0,15,20.1,37,"4"
