Customer ID,Gender,Region,Town size,Age Groups,Education Level,Home ownership,Job category,Employment length,Retired,Annual Household income,Debt to income ratio,Marital status,Household size,Telecom provider tenure (in months),Telecom provider tenure (in years),Customer Tenure,Customer Activity,Voice service usage,Equipment monthly usage,Monthly data usage,Streaming hours,Plans,Number of Plans,Subscriptions,Number of subscriptions,Devices,Number of devices,Services,Number of services
3964-QJWTRG-NPN,Female,Northeast,Medium,18 to 24,Post Secondary,No,Professional,0,No,31000,11.1,Unmarried,3,5,0.416666667,Newcomer,Moderate,19.5,29.5,0,13,"International plan, Family plan",2,"Equipment, Video streaming, Mobile security",3,"Smart device, Gaming console",2,"Cloud storage, IoT device support, Cloud backup",3
0648-AIPJSP-UVM,Male,West Coast,Mega-City,18 to 24,Post Secondary,Yes,Sales,0,No,15000,18.6,Unmarried,2,39,3.25,Established,Moderate,26.7,54.85,45.65,18,"International plan, Wireless data plan, Family plan, Home internet plan",4,"Equipment, Smart home monitoring, Financial News streaming",3,"Home computer, Smart device, Gaming console, Smart home device",4,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4
5195-TLUDJE-HVO,Female,Midwest,Extra Large,65 to 74,Post Secondary,Yes,Sales,16,No,35000,9.9,Married,3,65,5.416666667,Veteran,Moderate,85.2,0,0,21,"International plan, Family plan",2,Financial News streaming,1,No devices,0,No devices,0
4459-VLPQUH-3OL,Male,Southwest,Large,18 to 24,Post Secondary,Yes,Sales,0,No,20000,5.7,Married,5,36,3,Established,Moderate,18,0,0,26,"International plan, Family plan, Home internet plan",3,Financial News streaming,1,"Home computer, Smart device, Gaming console",3,No devices,0
8158-SMTQFB-CNO,Male,Southeast,Medium,25 to 34,Post Secondary,No,Sales,1,No,23000,1.7,Married,4,21,1.75,Emerging,Moderate,9.15,0,19.05,27,"International plan, Wireless data plan, Home internet plan",3,"Video streaming, Mobile security",2,"Home computer, Gaming console",2,"Cloud storage, Virtual assistant service, Cloud backup",3
9662-FUSYIM-1IV,Male,Southwest,Extra Large,55 to 64,Post Secondary,Yes,Service,22,No,107000,5.6,Unmarried,1,28,2.333333333,Established,Moderate,24.3,35.5,0,21,International plan,1,"Equipment, Video streaming, Mobile security",3,No devices,0,"IoT device support, Virtual assistant service, Cloud backup",3
7432-QKQFJJ-K72,Female,Southeast,Mega-City,45 to 54,Post Secondary,No,Professional,10,No,77000,1.9,Unmarried,1,15,1.25,Emerging,Moderate,11.4,0,0,19,Home internet plan,1,No subscriptions,0,"Home computer, Smart device",2,Cloud backup,1
8959-RZWRHU-ST8,Female,Midwest,Extra Large,35 to 44,Post Secondary,Yes,Professional,11,No,97000,14.4,Married,2,46,3.833333333,Loyal,Moderate,44.55,0,0,13,"International plan, Family plan",2,"Video streaming, Financial News streaming, Mobile security",3,No devices,0,"Virtual assistant service, Cloud backup",2
9124-DZALHM-S6I,Female,Southeast,Large,65 to 74,Completed High School,Yes,Professional,15,Yes,16000,2.6,Unmarried,1,53,4.416666667,Loyal,Moderate,63.15,0,0,25,"International plan, Family plan",2,No subscriptions,0,No devices,0,No devices,0
3512-MUWBGY-52X,Male,Southeast,Medium,45 to 54,Some High School,Yes,Labor,19,No,84000,4.1,Unmarried,2,3,0.25,Newcomer,Low,10.95,0,0,21,No plans,0,No subscriptions,0,No devices,0,No devices,0
5621-QSZPSF-NF2,Female,Southwest,Small,55 to 64,Post Secondary,No,Professional,8,No,47000,8.6,Unmarried,1,50,4.166666667,Loyal,Moderate,25.65,31.2,0,26,"International plan, Family plan, Home internet plan",3,"Equipment, Mobile security",2,"Home computer, Smart device",2,No devices,0
8241-PWPONH-62O,Female,Southeast,Extra Large,25 to 34,No High School,No,Sales,4,No,19000,0.9,Married,5,9,0.75,Newcomer,Low,10.8,0,0,27,No plans,0,No subscriptions,0,No devices,0,No devices,0
8795-FYOXCT-P09,Male,West Coast,Medium,35 to 44,Some High School,Yes,Professional,12,No,73000,2.8,Unmarried,1,5,0.416666667,Newcomer,Moderate,20.25,0,0,21,"International plan, Home internet plan",2,"Video streaming, Mobile security",2,Home computer,1,"Virtual assistant service, Cloud backup",2
1705-NMIQNO-IC4,Male,Midwest,Medium,55 to 64,Post Secondary,Yes,Professional,3,No,63000,10.5,Unmarried,1,58,4.833333333,Loyal,Moderate,36.3,0,0,21,"International plan, Family plan",2,"Video streaming, Financial News streaming",2,Home computer,1,"Virtual assistant service, Cloud backup",2
9205-PAZEXY-90Q,Female,Southeast,Small,65 to 74,Post Secondary,Yes,Agriculture,27,Yes,17000,9.8,Married,2,67,5.583333333,Veteran,Moderate,41.7,38.55,0,24,"International plan, Family plan",2,"Equipment, Smart home monitoring, Financial News streaming",3,"Home computer, Gaming console, Smart home device",3,Cloud backup,1
